PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
0.530000,0.590000,0.090000,0.570000,0.120000,74.980003,9.830000,3.010000,264.670013,48.320000,61034.308594,33.04,100.53,3.000000,CO,14555
0.550000,0.610000,0.090000,0.630000,0.120000,73.690002,6.730000,0.840000,265.179993,48.529999,62195.121094,33.04,100.7,3.000000,CO,14556
0.570000,0.640000,0.110000,0.580000,0.120000,74.339996,4.860000,0.290000,263.429993,53.799999,60856.078125,33.05,100.86,3.000000,CO,14557
0.570000,0.640000,0.100000,0.540000,0.120000,73.949997,7.080000,0.400000,261.579987,59.110001,59037.300781,33.05,101.02,3.000000,CO,14558
0.150000,0.180000,0.020000,0.130000,0.110000,73.669998,9.100000,2.350000,258.429993,46.619999,53106.609375,32.69,93.09,2.750000,CO,14770
0.150000,0.190000,0.020000,0.130000,0.110000,72.029999,9.290000,3.000000,259.200012,44.330002,53680.539062,32.71,93.25,2.750000,CO,14771
0.150000,0.190000,0.020000,0.130000,0.110000,73.010002,9.210000,3.250000,260.839996,40.139999,54869.820312,32.72,93.41,2.750000,CO,14772
0.160000,0.190000,0.020000,0.130000,0.110000,72.519997,8.840000,2.910000,262.200012,36.869999,55894.468750,32.74,93.57,2.750000,CO,14773
0.170000,0.200000,0.020000,0.130000,0.110000,72.160004,8.600000,2.870000,262.410004,36.040001,56058.300781,32.75,93.73,2.750000,CO,14774
0.170000,0.210000,0.020000,0.130000,0.110000,71.580002,8.340000,3.210000,262.559998,36.220001,56238.078125,32.76,93.89,2.750000,CO,14775
0.180000,0.220000,0.030000,0.140000,0.110000,73.660004,7.840000,3.400000,262.670013,37.730000,56477.730469,32.78,94.06,2.750000,CO,14776
0.190000,0.230000,0.030000,0.140000,0.110000,74.459999,7.470000,3.620000,261.989990,41.779999,56164.199219,32.79,94.22,2.750000,CO,14777
0.200000,0.240000,0.030000,0.150000,0.110000,75.080002,7.410000,3.770000,261.109985,46.570000,55691.140625,32.81,94.38,2.750000,CO,14778
0.210000,0.240000,0.020000,0.150000,0.110000,75.599998,6.910000,3.830000,260.890015,49.720001,55767.890625,32.82,94.54,2.750000,CO,14779
0.210000,0.250000,0.020000,0.160000,0.110000,76.000000,6.760000,4.360000,260.170013,55.549999,55569.011719,32.83,94.7,2.750000,CO,14780
0.220000,0.250000,0.020000,0.150000,0.110000,76.620003,7.960000,4.180000,260.619995,54.290001,55970.578125,32.85,94.86,2.750000,CO,14781
0.220000,0.260000,0.020000,0.160000,0.110000,76.779999,8.510000,3.380000,262.799988,46.900002,57720.480469,32.86,95.02,2.750000,CO,14782
0.230000,0.260000,0.020000,0.170000,0.110000,76.599998,7.600000,3.050000,263.790009,44.680000,58744.699219,32.87,95.18,2.750000,CO,14783
0.240000,0.270000,0.020000,0.200000,0.110000,76.419998,6.960000,3.530000,263.350006,47.200001,58643.890625,32.88,95.34,2.750000,CO,14784
